Dataset	Column	Raw Unique	Cleaned Unique	Raw Null	Cleaned Null
Menu	id	17545	17545	0	610
Menu	name	797	750	14348	15096
Menu	sponsor	6370	5942	1561	2171
Menu	event	1770	1772	9391	9734
Menu	venue	233	121	9426	9735
Menu	place	3714	2946	9422	10032
Menu	physical_description	6268	6135	2782	3392
Menu	occasion	423	306	13754	14348
Menu	notes	6969	6955	6932	7543
Menu	call_number	15936	15936	1562	2172
Menu	date	6599	6599	586	1196
Menu	location	6283	6054	0	610
Menu	currency	42	42	11089	11699
Menu	currency_symbol	34	30	11089	11699
Menu	status	2	2	0	610
Menu	page_count	46	46	0	610
Menu	dish_count	555	555	0	610
Dish	id	423397	423397	0	0
Dish	name	423363	337103	0	0
Dish	description	0	0	423397	423397
Dish	menus_appeared	552	552	0	0
Dish	times_appeared	568	568	0	0
Dish	first_appeared	144	144	0	0
Dish	last_appeared	144	144	0	0
Dish	lowest_price	647	647	29100	29100
Dish	highest_price	711	711	29100	29100
MenuItem	id	1332726	1332726	0	0
MenuItem	menu_page_id	26590	26590	0	0
MenuItem	price	1336	1336	445916	445916
MenuItem	high_price	671	671	1240821	1240821
MenuItem	dish_id	414138	414138	241	241
MenuItem	created_at	1291090	1291090	0	0
MenuItem	updated_at	1295796	1295796	0	0
MenuItem	xpos	1323	1323	0	0
MenuItem	ypos	616305	616305	0	0
MenuPage	id	66937	66937	0	0
MenuPage	menu_id	19816	19816	0	0
MenuPage	page_number	74	74	1202	1202
MenuPage	image_id	63244	63244	0	0
MenuPage	full_height	5612	5612	329	329
MenuPage	full_width	5041	5041	329	329
MenuPage	uuid	63041	63040	0	0
